number,value,datetime_start,datetime_complete,duration,params_epochs,params_lr,params_n_filters,state
0,0.32867526336923697,2025-08-14 14:51:25.084615,2025-08-14 14:51:32.969728,0 days 00:00:07.885113,14,0.0005588866223547546,32,COMPLETE
1,0.3271744725529413,2025-08-14 14:51:32.970728,2025-08-14 14:51:41.418619,0 days 00:00:08.447891,18,0.0004764621333903261,31,COMPLETE
2,0.33603186446619965,2025-08-14 14:51:41.419620,2025-08-14 14:51:49.926524,0 days 00:00:08.506904,19,0.00027032963338803194,36,COMPLETE
3,0.36079698254646037,2025-08-14 14:51:49.928524,2025-08-14 14:51:54.060759,0 days 00:00:04.132235,18,0.00030250626782030025,28,COMPLETE
4,0.32472309454894804,2025-08-14 14:51:54.062759,2025-08-14 14:52:01.885948,0 days 00:00:07.823189,18,0.00043306058621940996,61,COMPLETE
5,0.32038140406216503,2025-08-14 14:52:01.886941,2025-08-14 14:52:10.723926,0 days 00:00:08.836985,19,0.0005737020601229851,63,COMPLETE
6,0.33747228041100447,2025-08-14 14:52:10.725927,2025-08-14 14:52:16.356187,0 days 00:00:05.630260,12,0.0004419382408236155,26,COMPLETE
7,0.3359557622105958,2025-08-14 14:52:16.358188,2025-08-14 14:52:21.937437,0 days 00:00:05.579249,12,0.0002455621798583785,54,COMPLETE
8,0.33286593348465293,2025-08-14 14:52:21.938437,2025-08-14 14:52:27.814148,0 days 00:00:05.875711,13,0.00035556468970816276,56,COMPLETE
9,0.33179980442794216,2025-08-14 14:52:27.816149,2025-08-14 14:52:36.098284,0 days 00:00:08.282135,18,0.00024107550455681128,46,COMPLETE
10,0.3208948290820026,2025-08-14 14:52:36.099284,2025-08-14 14:52:43.807000,0 days 00:00:07.707716,20,0.0007601161784133925,64,COMPLETE
11,0.3236299532392224,2025-08-14 14:52:43.809001,2025-08-14 14:52:51.494723,0 days 00:00:07.685722,20,0.0007853620988750002,64,COMPLETE
12,0.3277922758881467,2025-08-14 14:52:51.495730,2025-08-14 14:52:56.185780,0 days 00:00:04.690050,16,0.0007708371335640302,48,COMPLETE
13,0.32410141670787246,2025-08-14 14:52:56.186780,2025-08-14 14:53:01.626594,0 days 00:00:05.439814,20,0.0006178505059640421,56,COMPLETE
14,0.3291592365719336,2025-08-14 14:53:01.627593,2025-08-14 14:53:07.751280,0 days 00:00:06.123687,16,0.0006288501769959845,40,COMPLETE
15,0.3289333267295418,2025-08-14 14:53:07.753273,2025-08-14 14:53:12.953728,0 days 00:00:05.200455,20,0.0005488368684284059,64,COMPLETE
16,0.3271519760038864,2025-08-14 14:53:12.954728,2025-08-14 14:53:20.037304,0 days 00:00:07.082576,17,0.0006872991855309567,51,COMPLETE
17,0.3295387920141763,2025-08-14 14:53:20.039305,2025-08-14 14:53:25.517540,0 days 00:00:05.478235,15,0.0005059378306923445,60,COMPLETE
18,0.3251603269384496,2025-08-14 14:53:25.518540,2025-08-14 14:53:34.225490,0 days 00:00:08.706950,19,0.00035259161915759696,42,COMPLETE
19,0.32467850144636345,2025-08-14 14:53:34.227490,2025-08-14 14:53:40.314468,0 days 00:00:06.086978,19,0.000691736899953207,59,COMPLETE
20,0.3229557656979313,2025-08-14 14:53:40.316469,2025-08-14 14:53:48.205366,0 days 00:00:07.888897,17,0.0005934807089599838,51,COMPLETE
21,0.32684833573291516,2025-08-14 14:53:48.207367,2025-08-14 14:53:53.426534,0 days 00:00:05.219167,17,0.000635803601594299,51,COMPLETE
22,0.33184738487972065,2025-08-14 14:53:53.427535,2025-08-14 14:54:01.351309,0 days 00:00:07.923774,17,0.00020132688510612778,59,COMPLETE
23,0.32505183869588916,2025-08-14 14:54:01.353309,2025-08-14 14:54:08.793975,0 days 00:00:07.440666,19,0.0005542351490174254,64,COMPLETE
24,0.3211675217709038,2025-08-14 14:54:08.794975,2025-08-14 14:54:17.202655,0 days 00:00:08.407680,20,0.0007137819780604239,52,COMPLETE
25,0.3242954613101819,2025-08-14 14:54:17.203655,2025-08-14 14:54:26.478011,0 days 00:00:09.274356,20,0.0007065382574267949,54,COMPLETE
26,0.32195398051991747,2025-08-14 14:54:26.480011,2025-08-14 14:54:34.703852,0 days 00:00:08.223841,20,0.0007856757347757996,61,COMPLETE
27,0.32493546106010657,2025-08-14 14:54:34.704853,2025-08-14 14:54:43.575837,0 days 00:00:08.870984,19,0.0007071212383110045,57,COMPLETE
28,0.33060216057134556,2025-08-14 14:54:43.577839,2025-08-14 14:54:50.080294,0 days 00:00:06.502455,20,0.0005068722455050038,48,COMPLETE
29,0.32607181534481827,2025-08-14 14:54:50.082294,2025-08-14 14:54:56.386530,0 days 00:00:06.304236,14,0.000572105315170018,36,COMPLETE
30,0.3223674361946755,2025-08-14 14:54:56.388531,2025-08-14 14:55:04.617712,0 days 00:00:08.229181,19,0.00038276571741764815,62,COMPLETE
31,0.3251030675188923,2025-08-14 14:55:04.619712,2025-08-14 14:55:10.223967,0 days 00:00:05.604255,20,0.0007975790102154028,62,COMPLETE
32,0.325808733978489,2025-08-14 14:55:10.224967,2025-08-14 14:55:15.441134,0 days 00:00:05.216167,20,0.0007369365478325597,54,COMPLETE
33,0.32262509903197834,2025-08-14 14:55:15.443135,2025-08-14 14:55:22.835789,0 days 00:00:07.392654,19,0.0006590169506390393,58,COMPLETE
34,0.3359604852395731,2025-08-14 14:55:22.837790,2025-08-14 14:55:26.555622,0 days 00:00:03.717832,18,0.0007393716784898808,61,COMPLETE
35,0.3248894004895314,2025-08-14 14:55:26.557623,2025-08-14 14:55:33.927128,0 days 00:00:07.369505,19,0.0006506477320100094,62,COMPLETE
36,0.32654358263272815,2025-08-14 14:55:33.929128,2025-08-14 14:55:39.051386,0 days 00:00:05.122258,18,0.0007991821665905395,64,COMPLETE
37,0.3257745844665323,2025-08-14 14:55:39.053386,2025-08-14 14:55:46.662842,0 days 00:00:07.609456,20,0.0005111766344398284,53,COMPLETE
38,0.32421120163112194,2025-08-14 14:55:46.663843,2025-08-14 14:55:55.474814,0 days 00:00:08.810971,19,0.0004356220816817235,57,COMPLETE
39,0.3273178760115067,2025-08-14 14:55:55.476815,2025-08-14 14:56:03.673658,0 days 00:00:08.196843,18,0.0005891453224612063,24,COMPLETE
