number,value,datetime_start,datetime_complete,duration,params_lr,params_n_blocks,state
0,0.14489522576332092,2025-08-14 14:56:21.974915,2025-08-14 14:57:29.351976,0 days 00:01:07.377061,5.28461629637833e-06,2,COMPLETE
1,0.1700052171945572,2025-08-14 14:57:29.353976,2025-08-14 14:58:42.629611,0 days 00:01:13.275635,0.0001826938126522797,3,COMPLETE
2,0.1966945379972458,2025-08-14 14:58:42.630612,2025-08-14 15:08:59.589982,0 days 00:10:16.959370,3.351528704754082e-05,5,COMPLETE
3,0.1869312971830368,2025-08-14 15:08:59.590982,2025-08-14 15:20:21.535600,0 days 00:11:21.944618,5.011264363302524e-06,4,COMPLETE
4,0.1890331506729126,2025-08-14 15:20:21.537592,2025-08-14 15:35:30.818958,0 days 00:15:09.281366,1.1950526365948958e-05,5,COMPLETE
5,0.17868085205554962,2025-08-14 15:35:30.819958,2025-08-14 15:40:21.927934,0 days 00:04:51.107976,3.269429673637563e-05,6,COMPLETE
6,0.18203088641166687,2025-08-14 15:40:21.928935,2025-08-14 15:43:59.519932,0 days 00:03:37.590997,8.591903490502409e-06,6,COMPLETE
7,0.1604137271642685,2025-08-14 15:43:59.521932,2025-08-14 15:44:43.470679,0 days 00:00:43.948747,1.4260516339949098e-05,2,COMPLETE
8,0.12083220481872559,2025-08-14 15:44:43.472680,2025-08-14 15:46:32.328019,0 days 00:01:48.855339,4.24675957843714e-06,4,COMPLETE
9,0.2704203128814697,2025-08-14 15:46:32.330019,2025-08-14 15:55:14.016997,0 days 00:08:41.686978,2.040901530920154e-06,5,COMPLETE
10,0.095441535115242,2025-08-14 15:55:14.018997,2025-08-14 15:56:26.110731,0 days 00:01:12.091734,1.104058913054557e-06,3,COMPLETE
11,0.17344892024993896,2025-08-14 15:56:26.112731,2025-08-14 16:00:21.588445,0 days 00:03:55.475714,1.0905360669932263e-06,3,COMPLETE
12,0.09543763101100922,2025-08-14 16:00:21.589446,2025-08-14 16:01:33.604802,0 days 00:01:12.015356,1.0403370787992102e-06,3,COMPLETE
13,0.17344477772712708,2025-08-14 16:01:33.605802,2025-08-14 16:05:29.202678,0 days 00:03:55.596876,1.1838730322971303e-06,3,COMPLETE
14,0.13726340234279633,2025-08-14 16:05:29.203678,2025-08-14 16:06:41.402825,0 days 00:01:12.199147,0.00011696002992464801,3,COMPLETE
15,0.16028669476509094,2025-08-14 16:06:41.404825,2025-08-14 16:07:25.488187,0 days 00:00:44.083362,2.33978470680526e-06,2,COMPLETE
16,0.11973844468593597,2025-08-14 16:07:25.490188,2025-08-14 16:09:14.281113,0 days 00:01:48.790925,2.3550245455123947e-06,4,COMPLETE
17,0.17743508517742157,2025-08-14 16:09:14.282114,2025-08-14 16:10:26.459543,0 days 00:01:12.177429,0.00043748985411877034,3,COMPLETE
18,0.16027918457984924,2025-08-14 16:10:26.461543,2025-08-14 16:11:10.563317,0 days 00:00:44.101774,1.0343479262116077e-06,2,COMPLETE
19,0.173378124833107,2025-08-14 16:11:10.564321,2025-08-14 16:15:05.921584,0 days 00:03:55.357263,2.9030853361683202e-06,3,COMPLETE
20,0.17982493340969086,2025-08-14 16:15:05.922584,2025-08-14 16:16:55.207864,0 days 00:01:49.285280,6.0177982932885404e-05,4,COMPLETE
21,0.11949145048856735,2025-08-14 16:16:55.209864,2025-08-14 16:18:44.400919,0 days 00:01:49.191055,1.7386932649543991e-06,4,COMPLETE
22,0.11945798993110657,2025-08-14 16:18:44.405919,2025-08-14 16:20:33.575970,0 days 00:01:49.170051,1.6445271991203096e-06,4,COMPLETE
23,0.1734255999326706,2025-08-14 16:20:33.577971,2025-08-14 16:24:29.185300,0 days 00:03:55.607329,1.628223452305102e-06,3,COMPLETE
24,0.19696004688739777,2025-08-14 16:24:29.187301,2025-08-14 16:33:10.948863,0 days 00:08:41.761562,3.763311194087821e-06,5,COMPLETE
25,0.18282920122146606,2025-08-14 16:33:10.949863,2025-08-14 16:39:07.227903,0 days 00:05:56.278040,8.157009637707065e-06,4,COMPLETE
26,0.09546513110399246,2025-08-14 16:39:07.228903,2025-08-14 16:40:19.431532,0 days 00:01:12.202629,1.4565265357272404e-06,3,COMPLETE
27,0.1602790355682373,2025-08-14 16:40:19.433532,2025-08-14 16:41:03.492717,0 days 00:00:44.059185,1.0063511413592556e-06,2,COMPLETE
28,0.1733705699443817,2025-08-14 16:41:03.494717,2025-08-14 16:44:58.481206,0 days 00:03:54.986489,3.1857530560708e-06,3,COMPLETE
29,0.20498126745224,2025-08-14 16:44:58.482206,2025-08-14 16:47:21.360505,0 days 00:02:22.878299,7.305869637076493e-06,2,COMPLETE
30,0.09605060517787933,2025-08-14 16:47:21.362504,2025-08-14 16:48:32.932899,0 days 00:01:11.570395,5.430377945441753e-06,3,COMPLETE
31,0.17342859506607056,2025-08-14 16:48:32.933900,2025-08-14 16:52:28.257295,0 days 00:03:55.323395,1.5571235936713785e-06,3,COMPLETE
32,0.09606840461492538,2025-08-14 16:52:28.258296,2025-08-14 16:53:40.305212,0 days 00:01:12.046916,5.5038303254589135e-06,3,COMPLETE
33,0.16028989851474762,2025-08-14 16:53:40.307212,2025-08-14 16:54:24.437774,0 days 00:00:44.130562,2.8485806554150796e-06,2,COMPLETE
34,0.17328038811683655,2025-08-14 16:54:24.439775,2025-08-14 16:55:59.525060,0 days 00:01:35.085285,1.940582154468584e-05,3,COMPLETE
