number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_feature_fraction,params_learning_rate,params_num_boost_round,params_num_leaves,state
0,0.33017286462812445,2025-08-14 14:38:47.315296,2025-08-14 14:38:51.336207,0 days 00:00:04.020911,0.8993692320930322,0.8091672899799022,0.04245318577709181,183,117,COMPLETE
1,0.5217513506188562,2025-08-14 14:38:51.338208,2025-08-14 14:39:10.057670,0 days 00:00:18.719462,0.6778131543456563,0.992446157937874,0.044471519312994715,710,136,COMPLETE
2,0.5529302802665415,2025-08-14 14:39:10.058670,2025-08-14 14:39:20.505077,0 days 00:00:10.446407,0.5839966338062126,0.6648827195924436,0.06871085693507233,531,129,COMPLETE
3,0.3223608064755511,2025-08-14 14:39:20.506079,2025-08-14 14:39:27.533793,0 days 00:00:07.027714,0.5619288270776668,0.5622545590568271,0.01641631538075009,328,146,COMPLETE
4,0.40825641221671616,2025-08-14 14:39:27.534793,2025-08-14 14:39:29.302188,0 days 00:00:01.767395,0.5581885211645772,0.8896530896603014,0.006445210859809084,177,23,COMPLETE
5,0.3270329878130015,2025-08-14 14:39:29.303188,2025-08-14 14:39:36.772703,0 days 00:00:07.469515,0.7162356112578956,0.7922687842764373,0.021598677754573917,304,142,COMPLETE
6,0.3370051040714426,2025-08-14 14:39:36.774704,2025-08-14 14:39:44.803307,0 days 00:00:08.028603,0.6968073172433895,0.8310613383954482,0.005890051612183999,363,108,COMPLETE
7,0.3665211948678824,2025-08-14 14:39:44.805308,2025-08-14 14:39:51.621835,0 days 00:00:06.816527,0.6487427813376065,0.9885833881046162,0.05432144511208724,769,36,COMPLETE
8,0.32201570436066324,2025-08-14 14:39:51.624834,2025-08-14 14:39:55.127003,0 days 00:00:03.502169,0.9918107197798189,0.5285759393980194,0.021661904484860498,366,61,COMPLETE
9,0.31476418303636094,2025-08-14 14:39:55.129004,2025-08-14 14:40:00.646253,0 days 00:00:05.517249,0.5509703663034848,0.8576718967185876,0.013331266032089069,344,71,COMPLETE
10,0.31633553351114013,2025-08-14 14:40:00.649254,2025-08-14 14:40:07.796038,0 days 00:00:07.146784,0.8196391842776252,0.6596452544220923,0.011307247544440171,535,79,COMPLETE
11,0.3182524281961176,2025-08-14 14:40:07.798039,2025-08-14 14:40:15.677746,0 days 00:00:07.879707,0.8121352746357163,0.6873694769049836,0.011199213084020273,565,81,COMPLETE
12,0.31835611318332413,2025-08-14 14:40:15.680747,2025-08-14 14:40:23.964601,0 days 00:00:08.283854,0.8170944688745138,0.6863997535973053,0.010622724391008387,639,74,COMPLETE
13,0.31458528343161496,2025-08-14 14:40:23.966601,2025-08-14 14:40:30.308549,0 days 00:00:06.341948,0.5064297261774249,0.8948322954722354,0.010345110406191243,445,57,COMPLETE
14,0.32109224461961183,2025-08-14 14:40:30.310549,2025-08-14 14:40:36.146645,0 days 00:00:05.836096,0.5004869262109203,0.9060262005218015,0.007669315283457105,416,52,COMPLETE
15,0.3575709415114264,2025-08-14 14:40:36.148645,2025-08-14 14:40:45.259425,0 days 00:00:09.110780,0.5040063453526686,0.9027548296645148,0.03208740786309934,455,102,COMPLETE
16,0.3160686267612902,2025-08-14 14:40:45.261426,2025-08-14 14:40:48.799218,0 days 00:00:03.537792,0.6259272927725479,0.8531919395286314,0.015484402689244378,264,51,COMPLETE
17,0.33426889836924506,2025-08-14 14:40:48.801219,2025-08-14 14:40:54.332456,0 days 00:00:05.531237,0.6102955865638837,0.935891731340403,0.00936460898448705,243,93,COMPLETE
18,0.3163664338140774,2025-08-14 14:40:54.334457,2025-08-14 14:40:59.894081,0 days 00:00:05.559624,0.5371014643092565,0.752384819821191,0.016002617004766077,432,64,COMPLETE
19,0.3287843836213618,2025-08-14 14:40:59.896081,2025-08-14 14:41:03.753509,0 days 00:00:03.857428,0.751449098542499,0.7615246601035419,0.00506765174270977,620,16,COMPLETE
20,0.3216026365376779,2025-08-14 14:41:03.756510,2025-08-14 14:41:08.482569,0 days 00:00:04.726059,0.6036133856864473,0.9457248494049455,0.027365582840873745,473,38,COMPLETE
21,0.3158136422874827,2025-08-14 14:41:08.484569,2025-08-14 14:41:12.197400,0 days 00:00:03.712831,0.6332734293794625,0.8562933769051393,0.01483088194182716,268,53,COMPLETE
22,0.3202928324348658,2025-08-14 14:41:12.200401,2025-08-14 14:41:15.284092,0 days 00:00:03.083691,0.5400209788613901,0.8670663975710051,0.013495747166264008,254,39,COMPLETE
23,0.3208607790237857,2025-08-14 14:41:15.286092,2025-08-14 14:41:21.276432,0 days 00:00:05.990340,0.6575186161023149,0.8330669917882896,0.008323714438234379,385,67,COMPLETE
24,0.4335846536347685,2025-08-14 14:41:21.278434,2025-08-14 14:41:27.025755,0 days 00:00:05.747321,0.5008278707666107,0.9438239440074963,0.09330942936277276,315,91,COMPLETE
25,0.3130462558046697,2025-08-14 14:41:27.026755,2025-08-14 14:41:30.269481,0 days 00:00:03.242726,0.585058277089313,0.8729280824167166,0.01907152337399935,235,51,COMPLETE
26,0.32071061730846073,2025-08-14 14:41:30.270481,2025-08-14 14:41:32.449782,0 days 00:00:02.179301,0.5737963240650545,0.7944766621836641,0.01970973121366588,170,45,COMPLETE
27,0.330252868089818,2025-08-14 14:41:32.451782,2025-08-14 14:41:34.782304,0 days 00:00:02.330522,0.7365957837619573,0.932496610440124,0.01267431676554253,218,27,COMPLETE
28,0.3234167254215598,2025-08-14 14:41:34.784304,2025-08-14 14:41:39.304317,0 days 00:00:04.520013,0.5329830908379396,0.7329140222598441,0.025790442934779317,384,61,COMPLETE
29,0.3152100644370865,2025-08-14 14:41:39.305316,2025-08-14 14:41:41.826881,0 days 00:00:02.521565,0.893815155228477,0.8027901029115333,0.03282686938974615,151,72,COMPLETE
