number,value,datetime_start,datetime_complete,duration,params_d_token,params_dropout,params_lr,state
0,0.23536151539588493,2025-08-14 17:00:42.360373,2025-08-14 17:00:58.082655,0 days 00:00:15.722282,68,0.2439464978210622,0.0001310436999916918,COMPLETE
1,0.23809028152697181,2025-08-14 17:00:58.083656,2025-08-14 17:01:13.338577,0 days 00:00:15.254921,118,0.11904910193580659,0.0008005811043381566,COMPLETE
2,0.23602262913047126,2025-08-14 17:01:13.339578,2025-08-14 17:01:28.600220,0 days 00:00:15.260642,48,0.05240188968635222,0.0006997242812308276,COMPLETE
3,0.23689206296093196,2025-08-14 17:01:28.601220,2025-08-14 17:01:43.614201,0 days 00:00:15.012981,86,0.10236881787243281,0.00012485940508136857,COMPLETE
4,0.24066493944010875,2025-08-14 17:01:43.616201,2025-08-14 17:01:58.602172,0 days 00:00:14.985971,78,0.048447134607302975,0.0004124558784255948,COMPLETE
5,0.23356340303382847,2025-08-14 17:01:58.604172,2025-08-14 17:02:13.472633,0 days 00:00:14.868461,99,0.009294403121445093,0.00032155212906281644,COMPLETE
6,0.23583644062894288,2025-08-14 17:02:13.473634,2025-08-14 17:02:28.542348,0 days 00:00:15.068714,33,0.22688855333111596,0.00034569273189435484,COMPLETE
7,0.23696278667812168,2025-08-14 17:02:28.544349,2025-08-14 17:02:43.050440,0 days 00:00:14.506091,96,0.11053612929495167,0.0001056829784752338,COMPLETE
8,0.23544582069604816,2025-08-14 17:02:43.052440,2025-08-14 17:02:58.061799,0 days 00:00:15.009359,37,0.053310283348375016,0.0005413021574532337,COMPLETE
9,0.23772141166958397,2025-08-14 17:02:58.062800,2025-08-14 17:03:13.016779,0 days 00:00:14.953979,41,0.024151551254415028,0.0002826693282050253,COMPLETE
10,0.2355649792506626,2025-08-14 17:03:13.017780,2025-08-14 17:03:27.975404,0 days 00:00:14.957624,127,0.1876516505724442,0.00021870056869714065,COMPLETE
11,0.23703296125315163,2025-08-14 17:03:27.976405,2025-08-14 17:03:42.931936,0 days 00:00:14.955531,63,0.2931989027556722,0.00017655059652455716,COMPLETE
12,0.23481062565835042,2025-08-14 17:03:42.932937,2025-08-14 17:03:57.780278,0 days 00:00:14.847341,98,0.2524426671935438,0.00016565031358082468,COMPLETE
13,0.23625542628895788,2025-08-14 17:03:57.782279,2025-08-14 17:04:12.683620,0 days 00:00:14.901341,100,0.16365342394294508,0.0002180766318874686,COMPLETE
14,0.2372544861803154,2025-08-14 17:04:12.685619,2025-08-14 17:04:27.511234,0 days 00:00:14.825615,110,0.29931756704466356,0.0001726957269426725,COMPLETE
15,0.23475811479787276,2025-08-14 17:04:27.513235,2025-08-14 17:04:42.498092,0 days 00:00:14.984857,98,0.22970072937288027,0.0004620704334644423,COMPLETE
16,0.23668958372397828,2025-08-14 17:04:42.500092,2025-08-14 17:04:57.361419,0 days 00:00:14.861327,86,0.19777653922995486,0.0004778406959732195,COMPLETE
17,0.2384912212397587,2025-08-14 17:04:57.362418,2025-08-14 17:05:12.203497,0 days 00:00:14.841079,109,0.1509633695666541,0.0009574595224601617,COMPLETE
18,0.23218719475787072,2025-08-14 17:05:12.204498,2025-08-14 17:05:27.348888,0 days 00:00:15.144390,76,0.09086560044547361,0.00031795786970704386,COMPLETE
19,0.237670695420488,2025-08-14 17:05:27.349887,2025-08-14 17:05:42.435677,0 days 00:00:15.085790,60,0.004654219865511135,0.0002965765063954106,COMPLETE
20,0.2358987815295588,2025-08-14 17:05:42.437679,2025-08-14 17:05:57.357018,0 days 00:00:14.919339,75,0.07820026684266879,0.00024651790882964324,COMPLETE
21,0.23513512318304078,2025-08-14 17:05:57.359018,2025-08-14 17:06:12.247839,0 days 00:00:14.888821,90,0.0811984834640246,0.00042471125520343443,COMPLETE
22,0.23472466199277509,2025-08-14 17:06:12.249840,2025-08-14 17:06:26.994747,0 days 00:00:14.744907,107,0.0008728358239062321,0.0005661667180604278,COMPLETE
23,0.23552716271838822,2025-08-14 17:06:26.996749,2025-08-14 17:06:41.884081,0 days 00:00:14.887332,113,0.003395061462895157,0.0006643516438620806,COMPLETE
24,0.24654771158617778,2025-08-14 17:06:41.886081,2025-08-14 17:06:56.723895,0 days 00:00:14.837814,127,0.02453598948264328,0.00034173951556845677,COMPLETE
25,0.23802746070367092,2025-08-14 17:06:56.724896,2025-08-14 17:07:11.539213,0 days 00:00:14.814317,104,0.0353607654345911,0.0005673039080918989,COMPLETE
26,0.2350636062950798,2025-08-14 17:07:11.540212,2025-08-14 17:07:26.292848,0 days 00:00:14.752636,90,0.0758398591654468,0.00036991607665703936,COMPLETE
27,0.23301150035611595,2025-08-14 17:07:26.294848,2025-08-14 17:07:41.093160,0 days 00:00:14.798312,119,0.13013144159591336,0.00026064887968371686,COMPLETE
28,0.23642476664620377,2025-08-14 17:07:41.095161,2025-08-14 17:07:55.915070,0 days 00:00:14.819909,117,0.12910602437074842,0.000255847812880423,COMPLETE
29,0.24267064462663285,2025-08-14 17:07:55.916072,2025-08-14 17:08:10.957143,0 days 00:00:15.041071,68,0.14324219180462625,0.00021009665494072275,COMPLETE
30,0.23537291719163103,2025-08-14 17:08:10.958144,2025-08-14 17:08:25.797464,0 days 00:00:14.839320,122,0.09444410467930238,0.00030240674262109056,COMPLETE
31,0.23629187476715824,2025-08-14 17:08:25.798465,2025-08-14 17:08:40.432616,0 days 00:00:14.634151,105,0.0011549941243960363,0.00038197964163681655,COMPLETE
32,0.23272078292464618,2025-08-14 17:08:40.433617,2025-08-14 17:08:55.278870,0 days 00:00:14.845253,117,0.061502368072216124,0.0002562390820752676,COMPLETE
33,0.23445600185818533,2025-08-14 17:08:55.280870,2025-08-14 17:09:10.123431,0 days 00:00:14.842561,119,0.06394602026381163,0.00025441578140068604,COMPLETE
34,0.2369920320587502,2025-08-14 17:09:10.124432,2025-08-14 17:09:25.101481,0 days 00:00:14.977049,71,0.12481251662874526,0.00019432720892769692,COMPLETE
35,0.23554111724004687,2025-08-14 17:09:25.102482,2025-08-14 17:09:39.993943,0 days 00:00:14.891461,115,0.09656841290000423,0.0001374553908594026,COMPLETE
36,0.2352060949742682,2025-08-14 17:09:39.995944,2025-08-14 17:09:54.729243,0 days 00:00:14.733299,83,0.03894133452774383,0.0003166036804861809,COMPLETE
37,0.23814653798238938,2025-08-14 17:09:54.730243,2025-08-14 17:10:09.735466,0 days 00:00:15.005223,52,0.06675217376773387,0.00027013655174085984,COMPLETE
38,0.2312083850585605,2025-08-14 17:10:09.737466,2025-08-14 17:10:24.648804,0 days 00:00:14.911338,122,0.11314565716895811,0.00033583025044689083,COMPLETE
39,0.2347273117535358,2025-08-14 17:10:24.650805,2025-08-14 17:10:39.616486,0 days 00:00:14.965681,123,0.11580459855761244,0.00014516605182167755,COMPLETE
40,0.23266977750588924,2025-08-14 17:10:39.618487,2025-08-14 17:10:54.495141,0 days 00:00:14.876654,121,0.17724250736730107,0.00023443029444017208,COMPLETE
41,0.23445783122435593,2025-08-14 17:10:54.496140,2025-08-14 17:11:09.334704,0 days 00:00:14.838564,123,0.17841693737838693,0.0002451755699199697,COMPLETE
42,0.23973037949400477,2025-08-14 17:11:09.335704,2025-08-14 17:11:23.667700,0 days 00:00:14.331996,128,0.1361640447914772,0.00022558917578724362,COMPLETE
43,0.2370291556829556,2025-08-14 17:11:23.669700,2025-08-14 17:11:38.578864,0 days 00:00:14.909164,114,0.15781806510248647,0.00019547684232465242,COMPLETE
44,0.23714807838488924,2025-08-14 17:11:38.580865,2025-08-14 17:11:53.458210,0 days 00:00:14.877345,121,0.10151192468451194,0.00036303389525856554,COMPLETE
45,0.23406141902941646,2025-08-14 17:11:53.460209,2025-08-14 17:12:08.191544,0 days 00:00:14.731335,93,0.20774306997752628,0.00028083478939042335,COMPLETE
46,0.23693851001719465,2025-08-14 17:12:08.193545,2025-08-14 17:12:23.125942,0 days 00:00:14.932397,77,0.1746112956500954,0.0003954277110424725,COMPLETE
47,0.2369255332616737,2025-08-14 17:12:23.126942,2025-08-14 17:12:38.081944,0 days 00:00:14.955002,102,0.11037756060886701,0.0003266818508848087,COMPLETE
48,0.23404795178628768,2025-08-14 17:12:38.082945,2025-08-14 17:12:52.941270,0 days 00:00:14.858325,112,0.0917729754641479,0.00015576548729017922,COMPLETE
49,0.23587654212624926,2025-08-14 17:12:52.943271,2025-08-14 17:13:07.913109,0 days 00:00:14.969838,117,0.13859260096779613,0.0002345682389307962,COMPLETE
50,0.23494707783544075,2025-08-14 17:13:07.914110,2025-08-14 17:13:22.736445,0 days 00:00:14.822335,124,0.05490327690806176,0.00010383968214082833,COMPLETE
51,0.23476896228753674,2025-08-14 17:13:22.738428,2025-08-14 17:13:37.678052,0 days 00:00:14.939624,110,0.017709010284544024,0.00029022147980270414,COMPLETE
52,0.235300460135549,2025-08-14 17:13:37.679043,2025-08-14 17:13:52.530981,0 days 00:00:14.851938,82,0.16701899849948665,0.000457002382700278,COMPLETE
53,0.23296939547773338,2025-08-14 17:13:52.532982,2025-08-14 17:14:07.504219,0 days 00:00:14.971237,119,0.11645902240833636,0.00033344874447660853,COMPLETE
54,0.23234550840113058,2025-08-14 17:14:07.506219,2025-08-14 17:14:22.420796,0 days 00:00:14.914577,119,0.1528502298357364,0.00019941872671132814,COMPLETE
55,0.23406460767121076,2025-08-14 17:14:22.421797,2025-08-14 17:14:37.255115,0 days 00:00:14.833318,126,0.15009886373049658,0.00018307455747513976,COMPLETE
56,0.23096216201675457,2025-08-14 17:14:37.257122,2025-08-14 17:14:52.146939,0 days 00:00:14.889817,108,0.1178974125399823,0.0002125908297625106,COMPLETE
57,0.23615691654113927,2025-08-14 17:14:52.147939,2025-08-14 17:15:06.950252,0 days 00:00:14.802313,111,0.20894868168315758,0.00012401125430789762,COMPLETE
58,0.2338674317785877,2025-08-14 17:15:06.952252,2025-08-14 17:15:21.815977,0 days 00:00:14.863725,115,0.08762860915079251,0.000203444640155522,COMPLETE
59,0.23037212776990473,2025-08-14 17:15:21.817977,2025-08-14 17:15:36.671303,0 days 00:00:14.853326,107,0.1854106365392241,0.00018491687007413321,COMPLETE
60,0.2334327880209517,2025-08-14 17:15:36.672302,2025-08-14 17:15:51.816283,0 days 00:00:15.143981,57,0.19076187024645092,0.00016311834843016706,COMPLETE
61,0.23412042292412422,2025-08-14 17:15:51.818284,2025-08-14 17:16:06.551053,0 days 00:00:14.732769,105,0.10750439166398451,0.0001805138173508262,COMPLETE
62,0.23795357257617483,2025-08-14 17:16:06.553054,2025-08-14 17:16:21.464023,0 days 00:00:14.910969,108,0.2291855550083459,0.00020657903753713914,COMPLETE
63,0.23814810093613337,2025-08-14 17:16:21.465025,2025-08-14 17:16:36.371336,0 days 00:00:14.906311,97,0.16096964628156635,0.00022560756305976535,COMPLETE
64,0.23495110075826725,2025-08-14 17:16:36.372337,2025-08-14 17:16:51.541271,0 days 00:00:15.168934,116,0.26244987511989476,0.00023176449602678215,COMPLETE
65,0.23465972718984737,2025-08-14 17:16:51.542273,2025-08-14 17:17:07.314874,0 days 00:00:15.772601,72,0.20097389993675177,0.00027205427034283794,COMPLETE
