number,value,datetime_start,datetime_complete,duration,params_max_depth,params_max_features,params_min_samples_split,params_n_estimators,state
0,0.3330621681318506,2025-08-14 14:02:19.350077,2025-08-14 14:02:54.268756,0 days 00:00:34.918679,5,,5,259,COMPLETE
1,0.40061561066290235,2025-08-14 14:02:54.270756,2025-08-14 14:02:55.768196,0 days 00:00:01.497440,6,log2,2,280,COMPLETE
2,0.32439871123932035,2025-08-14 14:02:55.769197,2025-08-14 14:03:10.790138,0 days 00:00:15.020941,6,,4,94,COMPLETE
3,0.32048666889708444,2025-08-14 14:03:10.792138,2025-08-14 14:04:31.349286,0 days 00:01:20.557148,15,,9,233,COMPLETE
4,0.33028986088749823,2025-08-14 14:04:31.351286,2025-08-14 14:04:37.690211,0 days 00:00:06.338925,12,sqrt,10,358,COMPLETE
5,0.35596510946309406,2025-08-14 14:04:37.692212,2025-08-14 14:04:39.928746,0 days 00:00:02.236534,6,sqrt,4,223,COMPLETE
6,0.3187836017352344,2025-08-14 14:04:39.930747,2025-08-14 14:05:50.345014,0 days 00:01:10.414267,12,,9,244,COMPLETE
7,0.34944758862488706,2025-08-14 14:05:50.347015,2025-08-14 14:05:53.236693,0 days 00:00:02.889678,17,log2,8,289,COMPLETE
8,0.3331085369080407,2025-08-14 14:05:53.237694,2025-08-14 14:06:20.249377,0 days 00:00:27.011683,5,,2,199,COMPLETE
9,0.3314686825001646,2025-08-14 14:06:20.251377,2025-08-14 14:06:23.275056,0 days 00:00:03.023679,11,sqrt,9,188,COMPLETE
10,0.3257870575360445,2025-08-14 14:06:23.277058,2025-08-14 14:07:03.116485,0 days 00:00:39.839427,20,,7,110,COMPLETE
11,0.318601641477988,2025-08-14 14:07:03.117486,2025-08-14 14:08:43.898068,0 days 00:01:40.780582,13,,10,341,COMPLETE
12,0.31830365950237827,2025-08-14 14:08:43.899069,2025-08-14 14:10:32.087310,0 days 00:01:48.188241,11,,10,397,COMPLETE
13,0.31789893690953225,2025-08-14 14:10:32.088309,2025-08-14 14:11:53.782764,0 days 00:01:21.694455,9,,10,389,COMPLETE
14,0.3178656908918605,2025-08-14 14:11:53.783764,2025-08-14 14:13:16.493284,0 days 00:01:22.709520,9,,7,395,COMPLETE
15,0.3672413105075111,2025-08-14 14:13:16.494284,2025-08-14 14:13:19.192888,0 days 00:00:02.698604,9,log2,7,390,COMPLETE
16,0.3179531537505032,2025-08-14 14:13:19.194888,2025-08-14 14:14:33.472515,0 days 00:01:14.277627,9,,6,339,COMPLETE
17,0.31874188693157646,2025-08-14 14:14:33.473515,2025-08-14 14:15:33.402614,0 days 00:00:59.929099,8,,7,308,COMPLETE
18,0.4090254902913294,2025-08-14 14:15:33.403614,2025-08-14 14:15:34.345824,0 days 00:00:00.942210,3,sqrt,8,138,COMPLETE
19,0.3502993465920351,2025-08-14 14:15:34.347825,2025-08-14 14:15:35.042980,0 days 00:00:00.695155,15,log2,5,52,COMPLETE
20,0.31857285744050656,2025-08-14 14:15:35.043982,2025-08-14 14:16:45.992326,0 days 00:01:10.948344,8,,8,366,COMPLETE
21,0.31821222567431273,2025-08-14 14:16:45.994327,2025-08-14 14:17:59.722735,0 days 00:01:13.728408,9,,6,321,COMPLETE
22,0.3179463418539746,2025-08-14 14:17:59.724735,2025-08-14 14:19:37.880569,0 days 00:01:38.155834,10,,6,399,COMPLETE
23,0.3175205320513081,2025-08-14 14:19:37.882570,2025-08-14 14:21:15.678944,0 days 00:01:37.796374,10,,5,396,COMPLETE
24,0.319218249578845,2025-08-14 14:21:15.680945,2025-08-14 14:23:14.221099,0 days 00:01:58.540154,14,,4,367,COMPLETE
