number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_eta,params_lambda_l2,params_max_depth,params_subsample,state
0,0.3167717972840919,2025-08-14 14:43:28.520368,2025-08-14 14:43:32.135477,0 days 00:00:03.615109,0.6022148360795128,0.056045141208106296,0.07473498743051332,7,0.726955462499973,COMPLETE
1,0.31990150080855356,2025-08-14 14:43:32.137477,2025-08-14 14:43:34.062916,0 days 00:00:01.925439,0.9863801686693875,0.0939581539093351,0.07124310301199067,6,0.8407379087413636,COMPLETE
2,0.3146538864290537,2025-08-14 14:43:34.064907,2025-08-14 14:43:36.186789,0 days 00:00:02.121882,0.6894022062588644,0.055308409816921686,0.008474461329414823,5,0.9971179296376541,COMPLETE
3,0.3141343439153793,2025-08-14 14:43:36.188791,2025-08-14 14:43:37.504086,0 days 00:00:01.315295,0.7884114960913201,0.13887238365081506,0.13342066645296127,4,0.9206865843571316,COMPLETE
4,0.31373490709259355,2025-08-14 14:43:37.506086,2025-08-14 14:43:59.412210,0 days 00:00:21.906124,0.7430447098577526,0.010639158545120214,0.5659255769691451,8,0.7169196462756598,COMPLETE
5,0.31456778266290275,2025-08-14 14:43:59.414211,2025-08-14 14:44:10.221820,0 days 00:00:10.807609,0.6180710153395824,0.039448585982344145,9.552236790669083,9,0.9228594816616631,COMPLETE
6,0.31571820431471503,2025-08-14 14:44:10.223821,2025-08-14 14:44:12.024224,0 days 00:00:01.800403,0.6175183368627503,0.09810081243517808,1.3909172244002006,6,0.9787714044604784,COMPLETE
7,0.3149647241707364,2025-08-14 14:44:12.026225,2025-08-14 14:44:16.631281,0 days 00:00:04.605056,0.855118020533693,0.018661192451214136,2.3037739501604153,4,0.7464780001932113,COMPLETE
8,0.3168162787949017,2025-08-14 14:44:16.633272,2025-08-14 14:44:40.782930,0 days 00:00:24.149658,0.7951104373683802,0.021454212345326514,2.500403505089923,10,0.8493619118249762,COMPLETE
9,0.33142319246944896,2025-08-14 14:44:40.784931,2025-08-14 14:44:44.519340,0 days 00:00:03.734409,0.7331119728921942,0.17657675893233774,0.003431767919402856,9,0.8608797948455075,COMPLETE
10,0.3139989926694683,2025-08-14 14:44:44.520340,2025-08-14 14:45:06.718572,0 days 00:00:22.198232,0.9029285558461742,0.010515085938199074,0.3716278128424628,8,0.6077536460367507,COMPLETE
11,0.3135641410973234,2025-08-14 14:45:06.721573,2025-08-14 14:45:23.966869,0 days 00:00:17.245296,0.9013349229274359,0.013893457368993615,0.3309471791423491,8,0.6000498011491752,COMPLETE
12,0.31384179405529805,2025-08-14 14:45:23.969870,2025-08-14 14:45:46.640308,0 days 00:00:22.670438,0.9145628048199703,0.010321863125309813,0.39977319746197393,8,0.6103550032303241,COMPLETE
13,0.31292252166574325,2025-08-14 14:45:46.642308,2025-08-14 14:45:55.879992,0 days 00:00:09.237684,0.7217961560408884,0.01855472725451558,0.021064417626771546,7,0.6879705896569606,COMPLETE
14,0.31511900459053965,2025-08-14 14:45:55.881992,2025-08-14 14:46:03.956801,0 days 00:00:08.074809,0.8598241739216999,0.02194201280193219,0.016774785962888887,7,0.6643020215187467,COMPLETE
15,0.31932565831982185,2025-08-14 14:46:03.958802,2025-08-14 14:46:21.900212,0 days 00:00:17.941410,0.9741053259680661,0.029007477389092078,0.001120986378440676,10,0.6584619447446006,COMPLETE
16,0.31303433341765013,2025-08-14 14:46:21.902212,2025-08-14 14:46:28.122606,0 days 00:00:06.220394,0.6875133301056676,0.015916898265597244,0.02816856553999093,5,0.6674207024739014,COMPLETE
17,0.31681988792611987,2025-08-14 14:46:28.124606,2025-08-14 14:46:30.359106,0 days 00:00:02.234500,0.6770272049325416,0.03386612804280007,0.023970164957871132,3,0.7830472824015238,COMPLETE
18,0.31352720736668127,2025-08-14 14:46:30.361107,2025-08-14 14:46:35.897345,0 days 00:00:05.536238,0.6732994835239977,0.016057604466842467,0.030484485856107503,5,0.6740468075656307,COMPLETE
19,0.3161138273864816,2025-08-14 14:46:35.899345,2025-08-14 14:46:38.984037,0 days 00:00:03.084692,0.7420239486897422,0.02861240449985387,0.0051101820776055205,5,0.6968421828321869,COMPLETE
20,0.3177173980524076,2025-08-14 14:46:38.986037,2025-08-14 14:46:42.661188,0 days 00:00:03.675151,0.7104486749955387,0.014337235670248614,0.0014151809525627984,3,0.7639950553234917,COMPLETE
21,0.3138351502767906,2025-08-14 14:46:42.663189,2025-08-14 14:46:48.293107,0 days 00:00:05.629918,0.6569645686491344,0.01557723549073327,0.029727692306742617,5,0.6653834005732475,COMPLETE
22,0.31567393505087854,2025-08-14 14:46:48.295107,2025-08-14 14:46:51.007713,0 days 00:00:02.712606,0.6527795148528777,0.02465689719638488,0.03944790198934313,4,0.6872625827506056,COMPLETE
23,0.3128135944916366,2025-08-14 14:46:51.009714,2025-08-14 14:46:58.639926,0 days 00:00:07.630212,0.7685110662969641,0.01595786517082355,0.011844768424600124,6,0.6454623388641159,COMPLETE
24,0.3139040695583633,2025-08-14 14:46:58.641926,2025-08-14 14:47:06.984982,0 days 00:00:08.343056,0.768427616955387,0.013289722821171149,0.009819791955093282,6,0.63367367772758,COMPLETE
25,0.3146269556713707,2025-08-14 14:47:06.986982,2025-08-14 14:47:16.453103,0 days 00:00:09.466121,0.8292616683337235,0.019515387553890238,0.003085473163797602,7,0.6417860764703522,COMPLETE
26,0.3144365880885522,2025-08-14 14:47:16.454104,2025-08-14 14:47:19.971811,0 days 00:00:03.517707,0.7217090877769219,0.0406117911280814,0.16244967629878984,6,0.8096823094601705,COMPLETE
27,0.31385554153807455,2025-08-14 14:47:19.973801,2025-08-14 14:47:26.564299,0 days 00:00:06.590498,0.7716287436367332,0.025919293002276175,0.006969077675610464,7,0.7118736512244863,COMPLETE
28,0.313335142802757,2025-08-14 14:47:26.566299,2025-08-14 14:47:33.801920,0 days 00:00:07.235621,0.8208778541111584,0.017838493320120326,0.014931790975907973,6,0.7513091602953929,COMPLETE
29,0.3160732641933079,2025-08-14 14:47:33.803920,2025-08-14 14:47:37.544757,0 days 00:00:03.740837,0.6983889237447897,0.05755193475421049,0.06661609934596174,7,0.6382905405569084,COMPLETE
30,0.3141546036000607,2025-08-14 14:47:37.546757,2025-08-14 14:47:44.756692,0 days 00:00:07.209935,0.6399758779109953,0.011952456555056076,0.05151950157513675,5,0.6940183958662963,COMPLETE
31,0.3125612320948898,2025-08-14 14:47:44.758692,2025-08-14 14:47:52.262148,0 days 00:00:07.503456,0.8226872016718386,0.017455782560309826,0.014953792812682177,6,0.7391173354406579,COMPLETE
32,0.3129840834744109,2025-08-14 14:47:52.264149,2025-08-14 14:47:59.817542,0 days 00:00:07.553393,0.7618185053715041,0.01707019665352145,0.014102182658683649,6,0.7391283272542191,COMPLETE
33,0.31635223890825387,2025-08-14 14:47:59.819543,2025-08-14 14:48:02.412124,0 days 00:00:02.592581,0.7544598157361517,0.05849884860582113,0.01133799445075671,6,0.7283288929009454,COMPLETE
34,0.31264603093947235,2025-08-14 14:48:02.414124,2025-08-14 14:48:09.073232,0 days 00:00:06.659108,0.8187720330053567,0.023401211514160712,0.0024000946641306686,6,0.8111184088749747,COMPLETE
35,0.31415907436437096,2025-08-14 14:48:09.076233,2025-08-14 14:48:17.183972,0 days 00:00:08.107739,0.8200748627636952,0.021645437692394357,0.0021768714578202335,7,0.8207659413916853,COMPLETE
36,0.314806269256099,2025-08-14 14:48:17.186973,2025-08-14 14:48:21.751829,0 days 00:00:04.564856,0.8508972749310205,0.03472022557452615,0.00486886495266481,6,0.7869123515344421,COMPLETE
37,0.31384077351372225,2025-08-14 14:48:21.754830,2025-08-14 14:48:25.909760,0 days 00:00:04.154930,0.7879900753630692,0.046473638442702386,0.09212237864660651,7,0.8669323801110339,COMPLETE
38,0.3149086285236724,2025-08-14 14:48:25.912760,2025-08-14 14:48:54.976387,0 days 00:00:29.063627,0.8047301621013571,0.012192110703658604,0.002049273477001007,9,0.7786428687679608,COMPLETE
39,0.3150513358514571,2025-08-14 14:48:54.978388,2025-08-14 14:48:56.645381,0 days 00:00:01.666993,0.8387374509194031,0.07830602005526048,0.00566120859734571,5,0.8933021120615758,COMPLETE
40,0.312775895104188,2025-08-14 14:48:56.647382,2025-08-14 14:49:07.458071,0 days 00:00:10.810689,0.7878650787078402,0.023124593206963417,0.16414795781556657,8,0.8297286890315195,COMPLETE
41,0.3142890247943787,2025-08-14 14:49:07.460071,2025-08-14 14:49:18.426039,0 days 00:00:10.965968,0.8746097198082925,0.023829582411732737,0.1791279520075246,8,0.8279283169877423,COMPLETE
42,0.31302449713006375,2025-08-14 14:49:18.428039,2025-08-14 14:49:27.462816,0 days 00:00:09.034777,0.7873006098760867,0.019766133643467285,0.05543846010270082,7,0.8825385180500922,COMPLETE
43,0.3148883862181161,2025-08-14 14:49:27.464816,2025-08-14 14:49:41.107047,0 days 00:00:13.642231,0.8063474696999429,0.028023834779342404,0.12247944041605499,9,0.802007667250248,COMPLETE
44,0.3151893930535258,2025-08-14 14:49:41.109048,2025-08-14 14:49:49.315253,0 days 00:00:08.206205,0.7176499704077176,0.03230218601232818,0.23813133124651836,8,0.8380355255878067,COMPLETE
45,0.31280517788905204,2025-08-14 14:49:49.316254,2025-08-14 14:49:59.676107,0 days 00:00:10.359853,0.8832738934788894,0.011952295796778608,0.003094184105028143,6,0.7178890569238535,COMPLETE
46,0.3122040680219382,2025-08-14 14:49:59.678108,2025-08-14 14:50:10.067426,0 days 00:00:10.389318,0.8848287767329713,0.012494497756948128,0.0033560869836746447,6,0.947994053998702,COMPLETE
47,0.31263191326520157,2025-08-14 14:50:10.068426,2025-08-14 14:50:20.793816,0 days 00:00:10.725390,0.938826002780412,0.012044425584194891,0.9289813928462684,6,0.9622072846295183,COMPLETE
48,0.3178649737807325,2025-08-14 14:50:20.796817,2025-08-14 14:50:26.099002,0 days 00:00:05.302185,0.9377733254925964,0.010331546948621064,1.3396433021238445,4,0.9544057487408351,COMPLETE
49,0.3137674146292396,2025-08-14 14:50:26.101002,2025-08-14 14:50:32.959060,0 days 00:00:06.858058,0.9517689586941729,0.013466478985045296,9.462126730714532,5,0.9962128526274566,COMPLETE
